athlete_full_name,athlete_url,sex,height,weight,NOC,NOC_code
Dylan WALCZYK,https://olympics.com/en/athletes/dylan-walczyk,Male,,,United States,USA
Dmitriy REIKHERD,https://olympics.com/en/athletes/reikherd,,,,,
Felix ELOFSSON,https://olympics.com/en/athletes/elofsson,Male,184 cm,84 kg,Sweden,SWE
Olli PENTTALA,https://olympics.com/en/athletes/olli-penttala,Male,,,Finland,FIN
Cooper WOODS-TOPALOVIC,https://olympics.com/en/athletes/cooper-woods-topalovic,Male,,,Australia,AUS
Daichi HARA,https://olympics.com/en/athletes/daichi-hara,Male,172 cm,75 kg,Japan,JPN
Ikuma HORISHIMA,https://olympics.com/en/athletes/ikuma-horishima,,,,,
Matt GRAHAM,https://olympics.com/en/athletes/matt-graham,Male,171 cm,71 kg,Australia,AUS
James MATHESON,https://olympics.com/en/athletes/james-matheson,Male,175 cm,68 kg,Australia,AUS
Laurent DUMAIS,https://olympics.com/en/athletes/laurent-dumais,Male,,,Canada,CAN
Severi VIERELA,https://olympics.com/en/athletes/severi-vierela,,,,,
Kosuke SUGIMOTO,https://olympics.com/en/athletes/kosuke-sugimoto,Male,,,Japan,JPN
Brodie SUMMERS,https://olympics.com/en/athletes/brodie-summers,Male,183 cm,83 kg,Australia,AUS
Pavel KOLMAKOV,https://olympics.com/en/athletes/pavel-kolmakov,Male,170 cm,78 kg,Kazakhstan,KAZ
Marco TADE,https://olympics.com/en/athletes/marco-tade,Male,,,Switzerland,SUI
William FENELEY,https://olympics.com/en/athletes/william-feneley,Male,,,Great Britain,GBR
So MATSUDA,https://olympics.com/en/athletes/so-matsuda,,,,,
Mikael KINGSBURY,https://olympics.com/en/athletes/mikael-kingsbury,Male,174 cm,68 kg,Canada,CAN
Bradley WILSON,https://olympics.com/en/athletes/bradley-wilson,Male,178 cm,75 kg,United States,USA
Walter WALLBERG,https://olympics.com/en/athletes/wallberg,Male,184 cm,82 kg,Sweden,SWE
Cole MCDONALD,https://olympics.com/en/athletes/cole-mcdonald,Male,,,United States,USA
Benjamin CAVET,https://olympics.com/en/athletes/benjamin-cavet,Male,180 cm,70 kg,France,FRA
Nick PAGE,https://olympics.com/en/athletes/nick-page,Male,,,United States,USA
Yang ZHAO,https://olympics.com/en/athletes/yang-zhao,Female,166 cm,58 kg,People's Republic of China,CHN
Sacha THEOCHARIS,https://olympics.com/en/athletes/sacha-theocharis,Male,176 cm,77 kg,France,FRA
Jimi SALONEN,https://olympics.com/en/athletes/jimi-salonen,Male,180 cm,66 kg,Finland,FIN
Ludvig FJALLSTROM,https://olympics.com/en/athletes/ludvig-fjallstrom,Male,180 cm,70 kg,Sweden,SWE
Nikita NOVITSKII,https://olympics.com/en/athletes/nikita-novitskii,Male,,,Russian Federation,RUS
Nikita ANDREEV,https://olympics.com/en/athletes/nikita-andreev,Male,188 cm,90 kg,Bulgaria,BUL
Oskar ELOFSSON,https://olympics.com/en/athletes/oskar-elofsson,Male,,,Sweden,SWE
Bingqiang MAO,https://olympics.com/en/athletes/bingqiang-mao,Male,160 cm,52 kg,People's Republic of China,CHN
Kevin ROLLAND,https://olympics.com/en/athletes/kevin-rolland,Male,178 cm,65 kg,France,FRA
Robin BRIGUET,https://olympics.com/en/athletes/robin-briguet,Male,167 cm,56 kg,Switzerland,SUI
Noah BOWMAN,https://olympics.com/en/athletes/noah-bowman,Male,178 cm,69 kg,Canada,CAN
Nico PORTEOUS,https://olympics.com/en/athletes/nico-porteous,Male,163 cm,50 kg,New Zealand,NZL
Seung Hun LEE,https://olympics.com/en/athletes/seung-hun-lee,Male,180 cm,75 kg,Canada,CAN
David WISE,https://olympics.com/en/athletes/david-wise,Male,183 cm,84 kg,United States,USA
Brendan MACKAY,https://olympics.com/en/athletes/brendan-mackay,Male,,,Canada,CAN
Aaron BLUNCK,https://olympics.com/en/athletes/aaron-blunck,Male,180 cm,78 kg,United States,USA
Ben HARRINGTON,https://olympics.com/en/athletes/ben-harrington,Male,,,New Zealand,NZL
Jingbo SUN,https://olympics.com/en/athletes/sun-jingbo,Male,,,People's Republic of China,CHN
Alex FERREIRA,https://olympics.com/en/athletes/alex-ferreira,Male,175 cm,64 kg,United States,USA
Brendan NEWBY,https://olympics.com/en/athletes/brendan-newby,Male,,,Ireland,IRL
Miguel PORTEOUS,https://olympics.com/en/athletes/miguel-porteous,Male,178 cm,70 kg,New Zealand,NZL
Gus KENWORTHY,https://olympics.com/en/athletes/gus-kenworthy,Male,178 cm,77 kg,Great Britain,GBR
Gustav LEGNAVSKY,https://olympics.com/en/athletes/gustav-legnavsky,Male,,,New Zealand,NZL
Haizhuo WANG,https://olympics.com/en/athletes/haizhuo-wang,Male,,,People's Republic of China,CHN
Marco LADNER,https://olympics.com/en/athletes/marco-ladner,Male,175 cm,65 kg,Austria,AUT
Binghan HE,https://olympics.com/en/athletes/binghan-he,,,,,
Simon D ARTOIS,https://olympics.com/en/athletes/simon-d-artois,Male,180 cm,83 kg,Canada,CAN
Birk IRVING,https://olympics.com/en/athletes/birk-irving,Male,,,United States,USA
Jon SALLINEN,https://olympics.com/en/athletes/jon-sallinen,Male,,,Finland,FIN
Rafael KREIENBUEHL,https://olympics.com/en/athletes/rafael-kreienbuehl,Male,178 cm,74 kg,Spain,ESP
Teal HARLE,https://olympics.com/en/athletes/teal-harle,Male,,,Canada,CAN
Matej SVANCER,https://olympics.com/en/athletes/matej-svancer,Male,,,Austria,AUT
Edouard THERRIAULT,https://olympics.com/en/athletes/edouard-therriault,Male,,,Canada,CAN
Hugo BURVALL,https://olympics.com/en/athletes/hugo-burvall,Male,,,Sweden,SWE
Colin WILI,https://olympics.com/en/athletes/colin-wili,Male,,,Switzerland,SUI
Leonardo DONAGGIO,https://olympics.com/en/athletes/leonardo-donaggio,Male,,,Italy,ITA
Birk RUUD,https://olympics.com/en/athletes/birk-ruud,Male,,,Norway,NOR
Mac FOREHAND,https://olympics.com/en/athletes/mac-forehand,Male,,,United States,USA
Thibault MAGNIN,https://olympics.com/en/athletes/thibault-magnin,Male,,,Spain,ESP
Oliwer MAGNUSSON,https://olympics.com/en/athletes/oliwer-magnusson,Male,185 cm,80 kg,Sweden,SWE
Finn BILOUS,https://olympics.com/en/athletes/finn-bilous,Male,172 cm,64 kg,New Zealand,NZL
Ferdinand DAHL,https://olympics.com/en/athletes/ferdinand-dahl,Male,,,Norway,NOR
Kim GUBSER,https://olympics.com/en/athletes/kim-gubser,Male,,,Switzerland,SUI
Fabian BOESCH,https://olympics.com/en/athletes/fabian-boesch,Male,,,Hungary,HUN
Max MOFFATT,https://olympics.com/en/athletes/max-moffatt,Male,,,Canada,CAN
Javier LLISO,https://olympics.com/en/athletes/javier-lliso,Male,,,Spain,ESP
Christian NUMMEDAL,https://olympics.com/en/athletes/christian-nummedal,Male,,,Norway,NOR
Henrik HARLAUT,https://olympics.com/en/athletes/henrik-harlaut,Male,169 cm,73 kg,Sweden,SWE
Jesper TJADER,https://olympics.com/en/athletes/jesper-tjader,Male,167 cm,53 kg,Sweden,SWE
Colby STEVENSON,https://olympics.com/en/athletes/colby-stevenson,Male,,,United States,USA
Nicholas GOEPPER,https://olympics.com/en/athletes/nicholas-goepper,Male,183 cm,73 kg,United States,USA
Simo PELTOLA,https://olympics.com/en/athletes/simo-peltola,Male,,,Finland,FIN
Evan MCEACHRAN,https://olympics.com/en/athletes/evan-mceachran,Male,186 cm,77 kg,Canada,CAN
Ben BARCLAY,https://olympics.com/en/athletes/ben-barclay,Male,,,New Zealand,NZL
Andri RAGETTLI,https://olympics.com/en/athletes/andri-ragettli,Male,184 cm,80 kg,Switzerland,SUI
Alexander HALL,https://olympics.com/en/athletes/alexander-hall-1,Male,,,Canada,CAN
James WOODS,https://olympics.com/en/athletes/james-woods,Male,168 cm,67 kg,Great Britain,GBR
Tormod FROSTAD,https://olympics.com/en/athletes/tormod-frostad,Male,,,Norway,NOR
Jinbo HE,https://olympics.com/en/athletes/jinbo-he,,,,,
Daniel BACHER,https://olympics.com/en/athletes/daniel-bacher,Male,174 cm,58 kg,Austria,AUT
Antoine ADELISSE,https://olympics.com/en/athletes/antoine-adelisse,Male,178 cm,65 kg,France,FRA
Bastien MIDOL,https://olympics.com/en/athletes/bastien-midol,Male,191 cm,94 kg,France,FRA
Terence TCHIKNAVORIAN,https://olympics.com/en/athletes/terence-tchiknavorian,Male,181 cm,82 kg,France,FRA
Sergey RIDZIK,https://olympics.com/en/athletes/sergey-ridzik-1,Male,188 cm,95 kg,ROC,ROC
David MOBAERG,https://olympics.com/en/athletes/david-mobaerg,Male,,,Spain,ESP
Niklas BACHSLEITNER,https://olympics.com/en/athletes/niklas-bachsleitner,Male,,,Germany,GER
Johannes ROHRWECK,https://olympics.com/en/athletes/johannes-rohrweck,Male,,,Austria,AUT
Alex FIVA,https://olympics.com/en/athletes/alex-fiva,Male,188 cm,95 kg,Switzerland,SUI
Kirill SYSOEV,https://olympics.com/en/athletes/kirill-sysoev,Male,,,Soviet Union,URS
Ollie DAVIES,https://olympics.com/en/athletes/ollie-davies,Male,,,Great Britain,GBR
Ryo SUGAI,https://olympics.com/en/athletes/ryo-sugai,Male,,,Japan,JPN
Tristan TAKATS,https://olympics.com/en/athletes/tristan-takats,Male,,,Austria,AUT
Satoshi FURUNO,https://olympics.com/en/athletes/satoshi-furuno,Male,,,Japan,JPN
Jean Frederic CHAPUIS,https://olympics.com/en/athletes/jean-frederic-chapuis,Male,172 cm,83 kg,France,FRA
Jared SCHMIDT,https://olympics.com/en/athletes/jared-schmidt,Male,,,Canada,CAN
Francois PLACE,https://olympics.com/en/athletes/francois-place,Male,185 cm,90 kg,France,FRA
Elliott BARALO,https://olympics.com/en/athletes/elliott-baralo,Male,,,Sweden,SWE
Ryan REGEZ,https://olympics.com/en/athletes/ryan-regez,Male,,,Switzerland,SUI
Simone DEROMEDIS,https://olympics.com/en/athletes/simone-deromedis,Male,,,Italy,ITA
Reece HOWDEN,https://olympics.com/en/athletes/reece-howden,Male,,,Canada,CAN
Kevin DRURY,https://olympics.com/en/athletes/kevin-drury,Male,171 cm,82 kg,Canada,CAN
Romain DETRAZ,https://olympics.com/en/athletes/romain-detraz,Male,,,Switzerland,SUI
Tyler WALLASCH,https://olympics.com/en/athletes/tyler-wallasch,Male,,,United States,USA
Brady LEMAN,https://olympics.com/en/athletes/brady-leman,Male,190 cm,92 kg,Canada,CAN
Joos BERRY,https://olympics.com/en/athletes/joos-berry,Male,,,Switzerland,SUI
Robert WINKLER,https://olympics.com/en/athletes/robert-winkler,Male,190 cm,88 kg,Austria,AUT
Erik MOBAERG,https://olympics.com/en/athletes/erik-mobaerg,Male,,,Sweden,SWE
Adam KAPPACHER,https://olympics.com/en/athletes/adam-kappacher,Male,171 cm,80 kg,Austria,AUT
Igor OMELIN,https://olympics.com/en/athletes/igor-omelin,Male,180 cm,85 kg,ROC,ROC
Florian WILMSMANN,https://olympics.com/en/athletes/florian-wilmsmann,Male,178 cm,78 kg,Germany,GER
Tobias MUELLER,https://olympics.com/en/athletes/tobias-mueller-1,Female,165 cm,51 kg,Switzerland,SUI
Viktor ANDERSSON,https://olympics.com/en/athletes/viktor-andersson,Male,186 cm,86 kg,Sweden,SWE
Daniel BOHNACKER,https://olympics.com/en/athletes/daniel-bohnacker,Male,190 cm,83 kg,Germany,GER
Megan OLDHAM,https://olympics.com/en/athletes/megan-oldham,Female,,,Canada,CAN
Anni KARAVA,https://olympics.com/en/athletes/anni-karava,Female,,,Finland,FIN
Caroline CLAIRE,https://olympics.com/en/athletes/caroline-claire,Female,173 cm,70 kg,United States,USA
Ailing Eileen GU,https://olympics.com/en/athletes/gu-ailing-eileen,,,,,
Darian STEVENS,https://olympics.com/en/athletes/darian-stevens,Female,155 cm,59 kg,United States,USA
Margaux HACKETT,https://olympics.com/en/athletes/margaux-hackett,Female,,,New Zealand,NZL
Ksenia ORLOVA,https://olympics.com/en/athletes/ksenia-orlova,Female,,,Israel,ISR
Tess LEDEUX,https://olympics.com/en/athletes/tess-ledeux,Female,,,France,FRA
Kelly SILDARU,https://olympics.com/en/athletes/kelly-sildaru,Female,,,Estonia,EST
Mathilde GREMAUD,https://olympics.com/en/athletes/mathilde-gremaud,Female,168 cm,56 kg,Switzerland,SUI
Johanne KILLI,https://olympics.com/en/athletes/johanne-killi,Female,,,Norway,NOR
Silvia BERTAGNA,https://olympics.com/en/athletes/silvia-bertagna,Female,170 cm,50 kg,Italy,ITA
Dominique OHACO,https://olympics.com/en/athletes/dominique-ohaco,Female,166 cm,52 kg,Chile,CHI
Shuorui YANG,https://olympics.com/en/athletes/yang-shuorui,Female,,,People's Republic of China,CHN
Maggie VOISIN,https://olympics.com/en/athletes/maggie-voisin,Female,160 cm,57 kg,United States,USA
Sandra EIE,https://olympics.com/en/athletes/sandra-eie,Female,,,Norway,NOR
Laura WALLNER,https://olympics.com/en/athletes/laura-wallner,Female,,,Austria,AUT
Elena GASKELL,https://olympics.com/en/athletes/elena-gaskell,Female,,,Canada,CAN
Katie SUMMERHAYES,https://olympics.com/en/athletes/katie-summerhayes,Female,171 cm,68 kg,Great Britain,GBR
Lara WOLF,https://olympics.com/en/athletes/lara-wolf,Female,168 cm,52 kg,Austria,AUT
Marin HAMILL,https://olympics.com/en/athletes/marin-hamill,Female,,,United States,USA
Anastasia TATALINA,https://olympics.com/en/athletes/anastasia-tatalina,Female,167 cm,55 kg,ROC,ROC
Alia Delia EICHINGER,https://olympics.com/en/athletes/alia-delia-eichinger,Female,,,Germany,GER
Olivia ASSELIN,https://olympics.com/en/athletes/olivia-asselin,Female,,,Canada,CAN
Sarah HOEFFLIN,https://olympics.com/en/athletes/sarah-hoefflin,Female,,,Great Britain,GBR
Kirsty MUIR,https://olympics.com/en/athletes/kirsty-muir,Female,,,Great Britain,GBR
Jakara ANTHONY,https://olympics.com/en/athletes/anthony,Female,170 cm,65 kg,Australia,AUS
Junko HOSHINO,https://olympics.com/en/athletes/junko-hoshino,Female,156 cm,48 kg,Japan,JPN
Kai OWENS,https://olympics.com/en/athletes/kai-owens,Female,,,United States,USA
Anastasiia PERVUSHINA,https://olympics.com/en/athletes/anastasiia-pervushina,,,,,
Katharina RAMSAUER,https://olympics.com/en/athletes/katharina-ramsauer,Female,,,Austria,AUT
Taylah ONEILL,https://olympics.com/en/athletes/taylah-oneill,Female,159 cm,57 kg,Australia,AUS
Hinako TOMITAKA,https://olympics.com/en/athletes/hinako-tomitaka,,,,,
Ayaulum AMRENOVA,https://olympics.com/en/athletes/amrenova,,,,,
Chloe DUFOUR-LAPOINTE,https://olympics.com/en/athletes/chloe-dufour-lapointe,Female,165 cm,61 kg,Canada,CAN
Kisara SUMIYOSHI,https://olympics.com/en/athletes/kisara-sumiyoshi,Female,,,Japan,JPN
Olessya GRAUR,https://olympics.com/en/athletes/olessya-graur,Female,191 cm,75 kg,Germany,GER
Sophie ASH,https://olympics.com/en/athletes/sophie-ash,Female,,,Australia,AUS
Sofiane GAGNON,https://olympics.com/en/athletes/sofiane-gagnon,Female,,,Canada,CAN
Olivia GIACCIO,https://olympics.com/en/athletes/olivia-giaccio,Female,,,United States,USA
Perrine LAFFONT,https://olympics.com/en/athletes/perrine-laffont,Female,162 cm,50 kg,France,FRA
Justine DUFOUR-LAPOINTE,https://olympics.com/en/athletes/justine-dufour-lapointe,Female,164 cm,54 kg,Canada,CAN
Camille CABROL,https://olympics.com/en/athletes/camille-cabrol,Female,163 cm,60 kg,France,FRA
Britteny COX,https://olympics.com/en/athletes/britteny-cox,Female,163 cm,59 kg,Australia,AUS
Anastasiia SMIRNOVA,https://olympics.com/en/athletes/anastasiia-smirnova,Female,163 cm,61 kg,Russian Federation,RUS
Viktoriia LAZARENKO,https://olympics.com/en/athletes/viktoriia-lazarenko,Female,165 cm,55 kg,Kyrgyzstan,KGZ
Nan LI,https://olympics.com/en/athletes/nan-li,Male,182 cm,85 kg,Bulgaria,BUL
Jaelin KAUF,https://olympics.com/en/athletes/kauf,,,,,
Polina CHUDINOVA,https://olympics.com/en/athletes/polina-chudinova,Female,,,ROC,ROC
Hannah SOAR,https://olympics.com/en/athletes/hannah-soar,Female,,,United States,USA
Anastassiya GORODKO,https://olympics.com/en/athletes/anastassiya-gorodko,Female,,,Kazakhstan,KAZ
Makayla GERKEN SCHOFIELD,https://olympics.com/en/athletes/makayla-gerken-schofield,Female,,,Great Britain,GBR
Leonie GERKEN SCHOFIELD,https://olympics.com/en/athletes/leonie-gerken-schofield,Female,,,Great Britain,GBR
Yulia GALYSHEVA,https://olympics.com/en/athletes/yulia-galysheva,Female,167 cm,60 kg,Kazakhstan,KAZ
Sabrina CASS,https://olympics.com/en/athletes/sabrina-cass,Female,,,Brazil,BRA
Anri KAWAMURA,https://olympics.com/en/athletes/anri-kawamura,Female,,,Japan,JPN
Katrin OFNER,https://olympics.com/en/athletes/katrin-ofner,Female,170 cm,63 kg,Austria,AUT
Ekaterina MALTSEVA,https://olympics.com/en/athletes/ekaterina-maltseva,Female,157 cm,48 kg,Kazakhstan,KAZ
Alizee BARON,https://olympics.com/en/athletes/alizee-baron,Female,175 cm,64 kg,France,FRA
Sandra NAESLUND,https://olympics.com/en/athletes/sandra-naeslund,Female,186 cm,93 kg,Soviet Union,URS
Courtney HOFFOS,https://olympics.com/en/athletes/courtney-hoffos,Female,,,Canada,CAN
Elizaveta PONKRATOVA,https://olympics.com/en/athletes/elizaveta-ponkratova,Female,,,ROC,ROC
Daniela MAIER,https://olympics.com/en/athletes/daniela-maier,Female,,,Germany,GER
Anastasiia CHIRTCOVA,https://olympics.com/en/athletes/anastasiia-chirtcova,,,,,
Fanny SMITH,https://olympics.com/en/athletes/fanny-smith,Female,166 cm,58 kg,Switzerland,SUI
Brittany PHELAN,https://olympics.com/en/athletes/brittany-phelan,Female,171 cm,62 kg,Canada,CAN
Andrea LIMBACHER,https://olympics.com/en/athletes/andrea-limbacher,Female,163 cm,59 kg,Austria,AUT
Talina GANTENBEIN,https://olympics.com/en/athletes/talina-gantenbein,Female,165 cm,58 kg,Switzerland,SUI
Hannah SCHMIDT,https://olympics.com/en/athletes/hannah-schmidt,Female,,,Canada,CAN
Alexandra EDEBO,https://olympics.com/en/athletes/alexandra-edebo,Female,,,Sweden,SWE
Jole GALLI,https://olympics.com/en/athletes/jole-galli,Female,,,Italy,ITA
Rui PU,https://olympics.com/en/athletes/rui-pu,,,,,
Nikol KUCEROVA,https://olympics.com/en/athletes/nikol-kucerova,Female,164 cm,63 kg,Czechia,CZE
Jade GRILLET AUBERT,https://olympics.com/en/athletes/grillet-aubert,Female,160 cm,56 kg,France,FRA
Natalia SHERINA,https://olympics.com/en/athletes/natalia-sherina,Female,,,ROC,ROC
Hongyun RAN,https://olympics.com/en/athletes/ran-hongyun,Female,,,People's Republic of China,CHN
Johanna HOLZMANN,https://olympics.com/en/athletes/johanna-holzmann,Female,,,Germany,GER
Christina FOEDERMAYR,https://olympics.com/en/athletes/christina-foedermayr,Female,165 cm,59 kg,West Germany,FRG
Saskja LACK,https://olympics.com/en/athletes/saskja-lack,Female,,,Switzerland,SUI
Marielle THOMPSON,https://olympics.com/en/athletes/marielle-thompson,Female,178 cm,70 kg,Canada,CAN
Lucrezia FANTELLI,https://olympics.com/en/athletes/lucrezia-fantelli,Female,167 cm,68 kg,Italy,ITA
Ilia BUROV,https://olympics.com/en/athletes/ilia-burov,Male,178 cm,94 kg,Ecuador,ECU
Sami KENNEDY-SIM,https://olympics.com/en/athletes/sami-kennedy-sim,Female,169 cm,70 kg,Australia,AUS
Noe ROTH,https://olympics.com/en/athletes/noe-roth,Male,178 cm,63 kg,Switzerland,SUI
Maxim GUSTIK,https://olympics.com/en/athletes/maxim-gustik,Female,176 cm,69 kg,Romania,ROU
Lloyd WALLACE,https://olympics.com/en/athletes/lloyd-wallace,Male,,,Great Britain,GBR
Pavel DIK,https://olympics.com/en/athletes/pavel-dik,,,,,
Lewis IRVING,https://olympics.com/en/athletes/lewis-irving,Male,,,Canada,CAN
Oleksandr ABRAMENKO,https://olympics.com/en/athletes/oleksandr-abramenko,Male,180 cm,82 kg,Ukraine,UKR
Justin SCHOENEFELD,https://olympics.com/en/athletes/justin-schoenefeld,Male,,,United States,USA
Pirmin WERNER,https://olympics.com/en/athletes/pirmin-werner,Male,,,Switzerland,SUI
Guangpu QI,https://olympics.com/en/athletes/guangpu-qi,,,,,
Eric LOUGHRAN,https://olympics.com/en/athletes/eric-loughran,Male,178 cm,75 kg,United States,USA
Zongyang JIA,https://olympics.com/en/athletes/zongyang-jia,Male,175 cm,70 kg,People's Republic of China,CHN
Xindi WANG,https://olympics.com/en/athletes/xindi-wang,Male,174 cm,65 kg,People's Republic of China,CHN
Oleksandr OKIPNIUK,https://olympics.com/en/athletes/oleksandr-okipniuk,Male,,,Ukraine,UKR
Nicolas GYGAX,https://olympics.com/en/athletes/nicolas-gygax,Male,188 cm,77 kg,Switzerland,SUI
Sherzod KHASHYRBAYEV,https://olympics.com/en/athletes/sherzod-khashyrbayev,Male,,,Kazakhstan,KAZ
Jiaxu SUN,https://olympics.com/en/athletes/jiaxu-sun,Male,,,People's Republic of China,CHN
Miha FONTAINE,https://olympics.com/en/athletes/miha-fontaine,Male,,,Canada,CAN
Stanislav NIKITIN,https://olympics.com/en/athletes/stanislav-nikitin,Male,175 cm,67 kg,ROC,ROC
Emile NADEAU,https://olympics.com/en/athletes/emile-nadeau,Male,,,Canada,CAN
Stanislau HLADCHENKA,https://olympics.com/en/athletes/stanislau-hladchenka,Male,190 cm,80 kg,Belarus,BLR
Maxim BUROV,https://olympics.com/en/athletes/maxim-burov,Male,178 cm,94 kg,Ecuador,ECU
Dmytro KOTOVSKYI,https://olympics.com/en/athletes/dmytro-kotovskyi,Male,,,Ukraine,UKR
Christopher LILLIS,https://olympics.com/en/athletes/christopher-lillis,Male,,,United States,USA
Hanna HUSKOVA,https://olympics.com/en/athletes/hanna-huskova,Female,167 cm,57 kg,Belarus,BLR
Marion THENAULT,https://olympics.com/en/athletes/marion-thenault,Female,,,Canada,CAN
Kaila KUHN,https://olympics.com/en/athletes/kaila-kuhn,Female,,,United States,USA
Alexandra BAER,https://olympics.com/en/athletes/alexandra-baer,Female,173 cm,59 kg,Canada,CAN
Eseniia PANTIUKHOVA,https://olympics.com/en/athletes/eseniia-pantiukhova,,,,,
Qi SHAO,https://olympics.com/en/athletes/qi-shao,Female,,,People's Republic of China,CHN
Anastasiia PRYTKOVA,https://olympics.com/en/athletes/anastasiia-prytkova,,,,,
Megan NICK,https://olympics.com/en/athletes/megan-nick,Female,,,United States,USA
Flavie AUMOND,https://olympics.com/en/athletes/flavie-aumond,,,,,
Zhanbota ALDABERGENOVA,https://olympics.com/en/athletes/zhanbota-aldabergenova,,,,,
Ashley CALDWELL,https://olympics.com/en/athletes/ashley-caldwell,Female,170 cm,66 kg,United States,USA
Anastasiya NOVOSAD,https://olympics.com/en/athletes/anastasiya-novosad,Female,160 cm,55 kg,Ukraine,UKR
Naomy BOUDREAU-GUERTIN,https://olympics.com/en/athletes/naomy-boudreau-guertin,Female,,,Canada,CAN
Fanyu KONG,https://olympics.com/en/athletes/fanyu-kong,Female,160 cm,55 kg,People's Republic of China,CHN
Danielle SCOTT,https://olympics.com/en/athletes/danielle-scott,Female,188 cm,85 kg,United States,USA
Anastasiya ANDRYIANAVA,https://olympics.com/en/athletes/anastasiya-andryianava,Female,,,Belarus,BLR
Laura PEEL,https://olympics.com/en/athletes/laura-peel,Female,174 cm,64 kg,Australia,AUS
Akhmarzhan KALMURZAYEVA,https://olympics.com/en/athletes/akhmarzhan-kalmurzayeva,,,,,
Winter VINECKI,https://olympics.com/en/athletes/winter-vinecki,Female,,,United States,USA
Anna DERUGO,https://olympics.com/en/athletes/anna-derugo,Female,,,Belarus,BLR
Emma WEISS,https://olympics.com/en/athletes/emma-weiss,Female,,,Germany,GER
Olga POLYUK,https://olympics.com/en/athletes/olga-polyuk,Female,170 cm,58 kg,Greece,GRE
Liubov NIKITINA,https://olympics.com/en/athletes/liubov-nikitina,Female,136 cm,30 kg,Ukraine,UKR
Mengtao XU,https://olympics.com/en/athletes/mengtao-xu,,,,,
Gabi ASH,https://olympics.com/en/athletes/gabi-ash,Female,,,Australia,AUS
Meng WU,https://olympics.com/en/athletes/wu-meng,Female,160 cm,53 kg,People's Republic of China,CHN
Chloe MCMILLAN,https://olympics.com/en/athletes/chloe-mcmillan,Female,,,New Zealand,NZL
Rachel KARKER,https://olympics.com/en/athletes/rachel-karker,Female,,,Canada,CAN
Sabrina CAKMAKLI,https://olympics.com/en/athletes/sabrina-cakmakli,Female,170 cm,60 kg,Germany,GER
Zoe ATKIN,https://olympics.com/en/athletes/zoe-atkin,Female,,,Great Britain,GBR
Alexandra GLAZKOVA,https://olympics.com/en/athletes/alexandra-glazkova,Female,,,ROC,ROC
Kexin ZHANG,https://olympics.com/en/athletes/kexin-zhang,Female,153 cm,43 kg,People's Republic of China,CHN
Carly MARGULIES,https://olympics.com/en/athletes/carly-margulies,Female,,,United States,USA
Anja BARUGH,https://olympics.com/en/athletes/anja-barugh,Female,,,New Zealand,NZL
Saori SUZUKI,https://olympics.com/en/athletes/saori-suzuki,Female,160 cm,56 kg,Japan,JPN
Fanghui LI,https://olympics.com/en/athletes/li-fanghui,,,,,
Devin LOGAN,https://olympics.com/en/athletes/devin-logan,Female,178 cm,82 kg,United States,USA
Cassie SHARPE,https://olympics.com/en/athletes/cassie-sharpe,Female,174 cm,69 kg,Canada,CAN
Hanna FAULHABER,https://olympics.com/en/athletes/hanna-faulhaber,Female,,,United States,USA
Amy FRASER,https://olympics.com/en/athletes/amy-fraser,Female,,,Canada,CAN
Yujin JANG,https://olympics.com/en/athletes/yujin-jang,Female,,,Republic of Korea,KOR
Brita SIGOURNEY,https://olympics.com/en/athletes/brita-sigourney,Female,168 cm,56 kg,United States,USA
Daeun KIM,https://olympics.com/en/athletes/daeun-kim,Male,177 cm,72 kg,Republic of Korea,KOR
Elisa Maria NAKAB,https://olympics.com/en/athletes/elisa-maria-nakab,Female,,,Italy,ITA
Abi HARRIGAN,https://olympics.com/en/athletes/abi-harrigan,Female,,,Australia,AUS
Tifany HUOT MARCHAND,https://olympics.com/en/athletes/huot-marchand,Female,163 cm,51 kg,France,FRA
Elena SEREGINA,https://olympics.com/en/athletes/elena-seregina,Female,,,Spain,ESP
Maame BINEY,https://olympics.com/en/athletes/biney,,,,,
Corinne STODDARD,https://olympics.com/en/athletes/corinne-stoddard,Female,,,United States,USA
Ekaterina EFREMENKOVA,https://olympics.com/en/athletes/ekaterina-efremenkova,Female,162 cm,62 kg,Bulgaria,BUL
Kristen SANTOS,https://olympics.com/en/athletes/kristen-santos,Female,,,United States,USA
Kim BOUTIN,https://olympics.com/en/athletes/boutin,Female,165 cm,58 kg,Canada,CAN
Martina VALCEPINA,https://olympics.com/en/athletes/martina-valcepina,Female,168 cm,60 kg,Italy,ITA
Xandra VELZEBOER,https://olympics.com/en/athletes/xandra-velzeboer,Female,,,Netherlands,NED
Sofia PROSVIRNOVA,https://olympics.com/en/athletes/sofia-prosvirnova,Female,167 cm,60 kg,ROC,ROC
Arianna FONTANA,https://olympics.com/en/athletes/arianna-fontana,Female,164 cm,63 kg,Italy,ITA
Suzanne SCHULTING,https://olympics.com/en/athletes/suzanne-schulting,Female,170 cm,65 kg,Netherlands,NED
Yuting ZHANG,https://olympics.com/en/athletes/yuting-zhang,Female,,,People's Republic of China,CHN
Arianna VALCEPINA,https://olympics.com/en/athletes/arianna-valcepina,Female,170 cm,56 kg,Italy,ITA
Alyson CHARLES,https://olympics.com/en/athletes/alyson-charles,Female,,,Canada,CAN
