athlete_full_name,athlete_url,sex,height,weight,NOC,NOC_code
Pierre COUQUELET,https://olympics.com/en/athletes/pierre-couquelet,Male,177 cm,75 kg,Belgium,BEL
Andres FIGUEROA,https://olympics.com/en/athletes/figueroa,Male,163 cm,80 kg,Chile,CHI
Nicholas WILSON,https://olympics.com/en/athletes/nicholas-wilson,Male,175 cm,73 kg,Great Britain,GBR
Frederick BURTON,https://olympics.com/en/athletes/frederick-burton,Male,170 cm,72 kg,Great Britain,GBR
Gudmundur JOHANNSSON,https://olympics.com/en/athletes/gudmundur-johannsson,Male,176 cm,69 kg,Iceland,ISL
Arni Thor ARNASON,https://olympics.com/en/athletes/arni-thor-arnason,Male,182 cm,79 kg,Iceland,ISL
Fernando R. ENEVOLDSEN,https://olympics.com/en/athletes/fernando-r-enevoldsen,Male,184 cm,82 kg,Argentina,ARG
Miguel PURCELL,https://olympics.com/en/athletes/miguel-purcell,Male,,,Chile,CHI
Lazaros ARCHONTOPOULOS,https://olympics.com/en/athletes/lazaros-archontopoulos,Male,170 cm,67 kg,Greece,GRE
Enrique DE RIDDER,https://olympics.com/en/athletes/enrique-de-ridder,Male,184 cm,82 kg,Argentina,ARG
Ioannis TRIANTAFYLLIDIS,https://olympics.com/en/athletes/ioannis-triantafyllidis,Male,177 cm,78 kg,Greece,GRE
Guang-Quan LI,https://olympics.com/en/athletes/guang-quan-li,Female,182 cm,72 kg,People's Republic of China,CHN
Tony SUKKAR,https://olympics.com/en/athletes/tony-sukkar,Male,,,Lebanon,LBN
Chang-Cheng LIU,https://olympics.com/en/athletes/chang-cheng-liu-1,Male,167 cm,63 kg,Chinese Taipei,TPE
Sabahattin HAMAMCIOGLU,https://olympics.com/en/athletes/sabahattin-hamamcioglu,Male,170 cm,64 kg,Türkiye,TUR
Erkan MERMUT,https://olympics.com/en/athletes/erkan-mermut,Male,180 cm,77 kg,Türkiye,TUR
Eduardo KOPPER,https://olympics.com/en/athletes/eduardo-kopper,Male,170 cm,69 kg,Costa Rica,CRC
Lambros LAMBROY,https://olympics.com/en/athletes/lambros-lambroy,Male,180 cm,82 kg,Greece,GRE
Hamid OUJEBBAD,https://olympics.com/en/athletes/hamid-oujebbad,Male,,,Morocco,MAR
Nabil KHALIL,https://olympics.com/en/athletes/nabil-khalil,Male,,,Lebanon,LBN
Edward SAMEN,https://olympics.com/en/athletes/edward-samen,Male,,,Lebanon,LBN
Yiannos PIPIS,https://olympics.com/en/athletes/yiannos-pipis,Male,,,Cyprus,CYP
Pavlos PHOTIADES,https://olympics.com/en/athletes/pavlos-photiades,Male,,,Greece,GRE
Nicolas B. VAN DITMAR,https://olympics.com/en/athletes/nicolas-b-van-ditmar,,,,,
Jordi TORRES,https://olympics.com/en/athletes/jordi-torres,Male,182 cm,80 kg,Andorra,AND
Christian BOLLINI,https://olympics.com/en/athletes/christian-bollini,Male,178 cm,70 kg,San Marino,SMR
Albert LLOVERA,https://olympics.com/en/athletes/albert-llovera,Male,171 cm,66 kg,Andorra,AND
Borislav KIRIAKOV,https://olympics.com/en/athletes/borislav-kiriakov,Male,176 cm,66 kg,Bulgaria,BUL
Hans KOSSMANN,https://olympics.com/en/athletes/hans-kossmann,Male,,,Chile,CHI
Henri Julien MOLLIN,https://olympics.com/en/athletes/henri-julien-mollin,Male,181 cm,75 kg,Belgium,BEL
Alberto GHIDONI,https://olympics.com/en/athletes/alberto-ghidoni,Male,175 cm,80 kg,Italy,ITA
Hubert HILTI,https://olympics.com/en/athletes/hubert-hilti,Male,184 cm,67 kg,Liechtenstein,LIE
Michel VION,https://olympics.com/en/athletes/michel-vion,Male,180 cm,78 kg,France,FRA
Hans ENN,https://olympics.com/en/athletes/hans-enn,Male,176 cm,62 kg,Soviet Union,URS
Mario KONZETT,https://olympics.com/en/athletes/mario-konzett,Male,172 cm,68 kg,Liechtenstein,LIE
Peter KOZMA,https://olympics.com/en/athletes/peter-kozma,Male,,,Belgium,BEL
Jin-Hae KIM,https://olympics.com/en/athletes/jin-hae-kim,Male,175 cm,68 kg,Republic of Korea,KOR
Mario HADA,https://olympics.com/en/athletes/mario-hada,Male,170 cm,58 kg,Bolivia,BOL
Woo-Youn EU,https://olympics.com/en/athletes/woo-youn-eu,Male,170 cm,70 kg,Republic of Korea,KOR
Carlos SALVADORES FUENTES,https://olympics.com/en/athletes/carlos-salvadores-fuentes,Male,175 cm,72 kg,Spain,ESP
Byung-Ro PARK,https://olympics.com/en/athletes/byung-ro-park,Male,178 cm,70 kg,Republic of Korea,KOR
David LAJOUX,https://olympics.com/en/athletes/david-lajoux,Male,177 cm,62 kg,Monaco,MON
Urs RÄBER,https://olympics.com/en/athletes/urs-raber,Male,171 cm,77 kg,Switzerland,SUI
Sepp WILDGRUBER,https://olympics.com/en/athletes/sepp-wildgruber,Male,176 cm,81 kg,West Germany,FRG
